id,status,bikes,docks,month,day,hours,minutes
1,1,0,36,10,1,1,44
1,1,0,36,10,1,1,39
1,1,16,20,10,1,9,44
1,1,11,25,10,1,12,19
1,1,11,25,10,1,12,44
1,1,11,25,10,1,12,54
1,1,1,35,10,1,16,34
1,1,0,36,10,1,16,9
1,1,0,36,10,1,20,29
1,1,0,36,10,2,4,9
1,1,0,36,10,2,3,59
1,1,0,36,10,2,4,4
1,1,19,17,10,2,6,54
1,1,25,11,10,2,7,4
1,1,23,13,10,2,6,59
1,1,18,18,10,2,6,49
1,1,23,13,10,2,10,59
1,1,24,12,10,2,11,9
1,1,24,12,10,2,11,4
1,1,24,12,10,2,14,34
1,1,12,24,10,2,18,54
1,1,5,31,10,3,2,44
1,1,5,31,10,3,2,29
1,1,5,31,10,3,2,34
1,1,11,25,10,3,6,9
1,1,12,24,10,3,6,24
1,1,26,10,10,3,10,9
1,1,26,10,10,3,9,54
1,1,18,18,10,3,13,29
1,1,0,36,10,1,2,34
1,1,3,33,10,1,6,9
1,1,16,20,10,1,8,34
1,1,11,25,10,1,13,29
1,1,0,36,10,1,17,9
1,1,0,36,10,1,17,4
1,1,0,36,10,1,17,24
1,1,0,36,10,1,19,59
1,1,0,36,10,1,20,9
1,1,0,36,10,2,0,9
1,1,0,36,10,2,0,44
1,1,0,36,10,2,3,14
1,1,0,36,10,2,3,19
1,1,0,36,10,2,3,44
1,1,27,9,10,2,7,34
1,1,24,12,10,2,11,44
1,1,24,12,10,2,11,59
1,1,24,12,10,2,11,39
1,1,24,12,10,2,11,34
1,1,20,16,10,2,15,34
1,1,22,14,10,2,15,4
1,1,20,16,10,2,15,24
1,1,14,22,10,2,18,39
1,1,15,21,10,2,18,4
1,1,15,21,10,2,18,14
1,1,7,29,10,2,22,44
1,1,5,31,10,3,1,59
1,1,5,31,10,3,2,9
1,1,6,30,10,3,4,59
1,1,6,30,10,3,4,25
1,1,27,9,10,3,9,14
1,1,28,8,10,3,8,59
1,1,28,8,10,3,9,9
1,1,0,36,10,1,3,34
1,1,0,36,10,1,3,54
1,1,0,36,10,1,3,44
1,1,0,36,10,1,3,24
1,1,0,36,10,1,3,49
1,1,0,36,10,1,4,4
1,1,11,25,10,1,7,44
1,1,12,24,10,1,12,4
1,1,11,25,10,1,11,44
1,1,11,25,10,1,11,39
1,1,2,34,10,1,15,44
1,1,3,33,10,1,15,34
1,1,0,36,10,1,19,19
1,1,0,36,10,1,23,14
1,1,0,36,10,1,23,9
1,1,0,36,10,2,1,44
1,1,11,25,10,2,6,9
1,1,25,11,10,2,10,24
1,1,26,10,10,2,9,54
1,1,24,12,10,2,13,39
1,1,24,12,10,2,13,59
1,1,24,12,10,2,13,49
1,1,15,21,10,2,17,19
1,1,15,21,10,2,17,49
1,1,15,21,10,2,17,34
1,1,15,21,10,2,17,54
1,1,12,24,10,2,21,14
1,1,5,31,10,3,0,44
1,1,6,30,10,3,5,39
1,1,29,7,10,3,8,24
1,1,17,19,10,3,13,14
1,1,0,36,10,1,0,34
1,1,0,36,10,1,0,49
1,1,16,20,10,1,8,14
1,1,11,25,10,1,10,59
1,1,11,25,10,1,11,29
1,1,11,25,10,1,11,19
1,1,9,27,10,1,14,44
1,1,9,27,10,1,15,9
